entrez	target gene	target probe	source probe	Score
285051	C2orf61	1553460_at	205707_at	0.020854
79807	GSTCD	235387_at	229101_at	0.020817
10994	ILVBL	202993_at	205707_at	0.020814
54495	TMX3	1552822_at	229101_at	0.020770
204801	NLRP11	1552531_a_at	205707_at	0.020756
145946	SPATA8	231006_at	228685_at	0.020729
439941	FER1L6-AS1	1553443_at	205707_at	0.020641
23492	CBX7	212914_at	229101_at	0.020578
7123	CLEC3B	205200_at	228685_at	0.020577
7015	TERT	207199_at	205707_at	0.020562
23742	NPAP1	221300_at	229295_at	0.020533
132430	PABPC4L	238865_at	229295_at	0.020525
100874375	FAM155A-IT1	1562696_at	228685_at	0.020522
27430	MAT2B	229284_at	229295_at	0.020477
101929109	LOC101929109	243728_at	229295_at	0.020413
26056	RAB11FIP5	210879_s_at	229295_at	0.020401
100506725	LOC100506725	229781_at	229101_at	0.020366
162387	MFSD6L	1552432_at	228685_at	0.020333
100286938	VPS13A-AS1	240767_x_at	205707_at	0.020311
8538	BARX2	210419_at	229295_at	0.020290
10151	HNRNPA3P1	206808_at	228685_at	0.020272
100302145	MIR1247	239727_at	228685_at	0.020225
101060581	LOC101060581	221850_x_at	205707_at	0.020212
414224	CTGLF12P	221850_x_at	205707_at	0.020212
653268	AGAP7P	221850_x_at	205707_at	0.020212
9816	URB2	205284_at	228685_at	0.020210
4653	MYOC	210155_at	229295_at	0.020190
286121	LOC286121	1561671_at	228685_at	0.020167
165918	RNF168	1553127_a_at	228685_at	0.020136
22869	ZNF510	206053_at	229101_at	0.020062
80271	ITPKC	213076_at	228685_at	0.020056
4216	MAP3K4	216199_s_at	228685_at	0.020044
81848	SPRY4	221489_s_at	205707_at	0.019987
56979	PRDM9	221151_at	205707_at	0.019961
64081	PBLD	1555175_a_at	228685_at	0.019946
387535	HCRP1	216174_at	205707_at	0.019932
92104	TTC30A	213679_at	229101_at	0.019915
124222	PAQR4	212858_at	228685_at	0.019880
22917	ZP1	237335_at	205707_at	0.019862
85289	KRTAP4-5	234637_at	228685_at	0.019817
79169	C1orf35	219063_at	229101_at	0.019808
1513	CTSK	202450_s_at	229295_at	0.019804
119369	NUDT9P1	1552564_at	205707_at	0.019785
101928877	LOC101928877	1557631_at	228685_at	0.019702
101929486	LOC101929486	1561678_at	228685_at	0.019681
8941	CDK5R2	205852_at	228685_at	0.019617
645984	LOC645984	1560007_at	229295_at	0.019536
255928	SYT14	1553654_at	228685_at	0.019533
64106	NPFFR1	221387_at	228685_at	0.019509
102724842		231557_at	228685_at	0.019488
101927125	ELFN1-AS1	231443_at	229295_at	0.019467
100507135	SPG20-AS1	232605_s_at	229295_at	0.019461
338321	NLRP9	1553527_at	228685_at	0.019458
7391	USF1	231768_at	228685_at	0.019418
2642	GCGR	210565_at	205707_at	0.019373
266740	MAGEA2B	214603_at	229295_at	0.019358
4101	MAGEA2	214603_at	229295_at	0.019358
1544	CYP1A2	207608_x_at	205707_at	0.019347
280	AMY2B	228023_x_at	229101_at	0.019295
