entrez	target gene	target probe	source probe	Score
57147	SCYL3	205607_s_at	206618_at	0.359458
146857	SLFN13	1558217_at	206618_at	0.359145
55095	SAMD4B	229871_at	206618_at	0.358868
5208	PFKFB2	226733_at	206618_at	0.358825
150962	PUS10	229362_at	206618_at	0.358590
6238	RRBP1	201203_s_at	206618_at	0.358363
4152	MBD1	203353_s_at	206618_at	0.358107
3202	HOXA5	213844_at	206618_at	0.358078
261726	TIPRL	228619_x_at	206618_at	0.357965
51029	DESI2	212371_at	206618_at	0.357697
2776	GNAQ	224862_at	206618_at	0.357630
10772	SRSF10	204299_at	206618_at	0.357518
8292	COLQ	206073_at	206618_at	0.357437
57465	TBC1D24	227908_at	206618_at	0.357249
6773	STAT2	225636_at	206618_at	0.357235
6617	SNAPC1	205443_at	206618_at	0.357148
414777	HCG18	235788_at	206618_at	0.357084
389856	USP27X	217605_at	206618_at	0.356736
51430	SUCO	203429_s_at	206618_at	0.356679
10906	TRAFD1	35254_at	206618_at	0.356620
6840	SVIL	202565_s_at	206618_at	0.356605
150094	SIK1	208078_s_at	206618_at	0.356582
22822	PHLDA1	217998_at	206618_at	0.356457
23150	FRMD4B	213056_at	206618_at	0.356385
6558	SLC12A2	204404_at	206618_at	0.356331
54926	UBE2R2	226954_at	206618_at	0.355654
6641	SNTB1	214708_at	206618_at	0.355595
23607	CD2AP	203593_at	206618_at	0.355550
4121	MAN1A1	221760_at	206618_at	0.355489
23168	RTF1	212301_at	206618_at	0.354855
3572	IL6ST	212196_at	206618_at	0.354758
54431	DNAJC10	225174_at	206618_at	0.354744
10520	ZNF211	205437_at	206618_at	0.354709
6599	SMARCC1	201075_s_at	206618_at	0.354692
9619	ABCG1	204567_s_at	206618_at	0.354613
5160	PDHA1	1555864_s_at	206618_at	0.354514
10983	CCNI	208655_at	206618_at	0.354250
84719	LINC00260	210711_at	206618_at	0.354011
54149	C21orf91	226109_at	206618_at	0.353802
84941	HSH2D	1552623_at	206618_at	0.353800
26286	ARFGAP3	202211_at	206618_at	0.353531
27300	ZNF544	218735_s_at	206618_at	0.353098
7799	PRDM2	203057_s_at	206618_at	0.353054
9112	MTA1	211783_s_at	206618_at	0.352986
55607	PPP1R9A	228494_at	206618_at	0.352918
22926	ATF6	217550_at	206618_at	0.352527
26524	LATS2	227013_at	206618_at	0.352467
8651	SOCS1	210001_s_at	206618_at	0.352154
4170	MCL1	214056_at	206618_at	0.352113
6873	TAF2	209523_at	206618_at	0.352002
4249	MGAT5	212098_at	206618_at	0.351698
9694	EMC2	203584_at	206618_at	0.351571
23385	NCSTN	237076_at	206618_at	0.351532
151987	PPP4R2	225519_at	206618_at	0.351513
64710	NUCKS1	222027_at	206618_at	0.351074
901	CCNG2	202770_s_at	206618_at	0.350752
81671	VMP1	1569003_at	206618_at	0.350512
55322	C5orf22	1565939_at	206618_at	0.350157
1794	DOCK2	213160_at	206618_at	0.350043
23387	SIK3	1554929_at	206618_at	0.350030
4928	NUP98	210793_s_at	206618_at	0.349908
22908	SACM1L	202797_at	206618_at	0.349899
286410	ATP11C	226785_at	206618_at	0.349847
79868	ALG13	205583_s_at	206618_at	0.349695
4899	NRF1	243189_at	206618_at	0.349666
9308	CD83	204440_at	206618_at	0.349566
51068	NMD3	222497_x_at	206618_at	0.349371
26799	SNORD50A	244669_at	206618_at	0.349247
692088	SNORD50B	244669_at	206618_at	0.349247
283551	LINC01588	237460_x_at	206618_at	0.349048
100507217	LINC01578	244443_at	206618_at	0.348918
7871	SLMAP	225243_s_at	206618_at	0.348796
5074	PAWR	204005_s_at	206618_at	0.348567
55293	UEVLD	230176_at	206618_at	0.348311
10939	AFG3L2	1557820_at	206618_at	0.347973
7006	TEC	206301_at	206618_at	0.347282
145864	HAPLN3	227262_at	206618_at	0.347062
